Part,Quantity,Unit Cost,Line Total,Supplier,Purchased
"Front Fender Position Cluster, Right",1,19.55,19.55,Amazon,Yes
"Front Fender Position Cluster, Loeft",1,27.99,27.99,eBay,Yes
